127.0.0.1, 2013-05-17 00:18:16, GET, /911_signin/static/js/calendar.js, HTTP/1.1, 200, 0.004495
127.0.0.1, 2013-05-17 00:18:16, GET, /911_signin/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.008754
127.0.0.1, 2013-05-17 00:18:16, GET, /911_signin/static/css/web2py.css, HTTP/1.1, 200, 0.003805
127.0.0.1, 2013-05-17 00:18:16, GET, /911_signin/static/js/superfish.js, HTTP/1.1, 200, 0.000453
127.0.0.1, 2013-05-17 00:18:17, GET, /911_signin/static/images/poweredby.png, HTTP/1.1, 200, 0.001478
127.0.0.1, 2013-05-17 00:18:17, GET, /911_signin/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000663
127.0.0.1, 2013-05-17 00:18:17, GET, /911_signin/static/images/shadow.png, HTTP/1.1, 200, 0.000853
127.0.0.1, 2013-05-17 00:18:17, GET, /911_signin/static/favicon.ico, HTTP/1.1, 200, 0.000369
127.0.0.1, 2013-05-17 00:18:18, GET, /911_signin/default/user/register, HTTP/1.1, 200, 0.035716
127.0.0.1, 2013-05-17 00:18:19, GET, /911_signin/default/user/register, HTTP/1.1, 200, 0.127898
127.0.0.1, 2013-05-17 00:18:54, POST, /911_signin/default/user/register, HTTP/1.1, 303, 0.715657
127.0.0.1, 2013-05-17 00:18:54, GET, /911_signin/default/index, HTTP/1.1, 200, 0.030667
127.0.0.1, 2013-05-17 00:19:01, GET, /911_signin/default/user/logout, HTTP/1.1, 303, 0.293581
127.0.0.1, 2013-05-17 00:19:01, GET, /911_signin/default/index, HTTP/1.1, 200, 0.030902
127.0.0.1, 2013-05-17 00:19:03, GET, /911_signin/default/user/login, HTTP/1.1, 200, 0.031975
